
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab11        0.116    0.884
ab14        0.148    0.852
ab18        0.181    0.819
ab21        0.214    0.786
ab24        0.246    0.754
ab27        0.279    0.721
ab31        0.312    0.688
ab34        0.344    0.656
ab37        0.377    0.623
ab40        0.410    0.590
ab44        0.442    0.558
ab47        0.475    0.525
ab50        0.508    0.492
ab52        0.524    0.476

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo88        0.884    0.116
fo91        0.917    0.083
fo94        0.949    0.051
fo96.4      0.964    0.036

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp78        0.789    0.211
sp80        0.809    0.191

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op90__0     0.000    0.904    0.096
Op93__0     0.000    0.938    0.062
Op94__0     0.000    0.943    0.057
Op90__3     0.033    0.871    0.092
Op93__3     0.033    0.904    0.060
Op94__3     0.033    0.910    0.055
Op90__6     0.066    0.838    0.089
Op93__6     0.066    0.871    0.058
Op94__6     0.066    0.877    0.053
Op90__9     0.100    0.805    0.086
Op93__9     0.100    0.838    0.056
Op94__9     0.100    0.844    0.051
Op90_13     0.133    0.772    0.083
Op93_13     0.133    0.805    0.054
Op94_13     0.133    0.811    0.049
Op90_16     0.166    0.739    0.080
Op93_16     0.166    0.772    0.052
Op94_16     0.166    0.778    0.047
Op90_17     0.173    0.731    0.079
Op93_17     0.173    0.764    0.052
Op94_17     0.173    0.770    0.047

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_0_0_0    0.000    0.002    0.006    0.992
Cp_0_0_3    0.000    0.002    0.039    0.959
Cp_0_0_7    0.000    0.002    0.073    0.925
Cp_0_0_7    0.000    0.002    0.075    0.923
Cp_0_3_0    0.000    0.035    0.006    0.959
Cp_0_3_3    0.000    0.035    0.039    0.925
Cp_0_3_7    0.000    0.035    0.073    0.892
Cp_0_3_7    0.000    0.035    0.075    0.890
Cp_0_6_0    0.000    0.069    0.006    0.925
Cp_0_6_3    0.000    0.069    0.039    0.892
Cp_0_6_7    0.000    0.069    0.073    0.859
Cp_0_6_7    0.000    0.069    0.075    0.856
Cp_010_0    0.000    0.102    0.006    0.892
Cp_010_3    0.000    0.102    0.039    0.859
Cp_010_7    0.000    0.102    0.073    0.825
Cp_010_7    0.000    0.102    0.075    0.823
Cp_013_0    0.000    0.135    0.006    0.859
Cp_013_3    0.000    0.135    0.039    0.825
Cp_013_7    0.000    0.135    0.073    0.792
Cp_013_7    0.000    0.135    0.075    0.790
Cp_016_0    0.000    0.169    0.006    0.825
Cp_016_3    0.000    0.169    0.039    0.792
Cp_016_7    0.000    0.169    0.073    0.759
Cp_016_7    0.000    0.169    0.075    0.756
Cp_018_0    0.000    0.183    0.006    0.811
Cp_018_3    0.000    0.183    0.039    0.778
Cp_018_7    0.000    0.183    0.073    0.745
Cp_018_7    0.000    0.183    0.075    0.742
Cp_0_0_0    0.001    0.002    0.006    0.991
Cp_0_0_3    0.001    0.002    0.039    0.958
Cp_0_0_7    0.001    0.002    0.073    0.925
Cp_0_0_7    0.001    0.002    0.075    0.922
Cp_0_3_0    0.001    0.035    0.006    0.958
Cp_0_3_3    0.001    0.035    0.039    0.925
Cp_0_3_7    0.001    0.035    0.073    0.891
Cp_0_3_7    0.001    0.035    0.075    0.889
