
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab9         0.094    0.906
ab12        0.126    0.874
ab15        0.159    0.841
ab19        0.192    0.808
ab22        0.224    0.776
ab25        0.257    0.743
ab28        0.290    0.710
ab32        0.322    0.678
ab35        0.355    0.645
ab38        0.388    0.612
ab42        0.420    0.580
ab45        0.453    0.547
ab48        0.486    0.514
ab51        0.518    0.482
ab55        0.551    0.449
ab58        0.584    0.416
ab61        0.616    0.384
ab64        0.649    0.351
ab68        0.682    0.318
ab71        0.714    0.286
ab74        0.747    0.253
ab77        0.780    0.220
ab80        0.804    0.196

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo88        0.886    0.114
fo91        0.919    0.081
fo95        0.952    0.048
fo98.4      0.984    0.016
fo99.1      0.991    0.009

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp67        0.677    0.323
sp71        0.710    0.290
sp74        0.743    0.257
sp77        0.776    0.224
sp80        0.809    0.191

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op88__0     0.000    0.890    0.110
Op92__0     0.000    0.923    0.077
Op94__0     0.000    0.943    0.057
Op88__3     0.033    0.856    0.107
Op92__3     0.033    0.890    0.075
Op94__3     0.033    0.909    0.055
Op88__6     0.066    0.823    0.103
Op92__6     0.066    0.856    0.072
Op94__6     0.066    0.876    0.054
Op88__9     0.100    0.790    0.099
Op92__9     0.100    0.823    0.070
Op94__9     0.100    0.843    0.052
Op88_13     0.133    0.757    0.096
Op92_13     0.133    0.790    0.067
Op94_13     0.133    0.810    0.050
Op88_16     0.166    0.724    0.092
Op92_16     0.166    0.757    0.064
Op94_16     0.166    0.777    0.048
Op88_16     0.166    0.723    0.092
Op92_16     0.166    0.756    0.064
Op94_16     0.166    0.776    0.048

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_0_0_3    0.000    0.000    0.033    0.967
Cp_0_0_6    0.000    0.000    0.067    0.933
Cp_0_0_7    0.000    0.000    0.072    0.928
Cp_0_3_0    0.000    0.033    0.000    0.967
Cp_0_3_3    0.000    0.033    0.033    0.933
Cp_0_3_6    0.000    0.033    0.067    0.900
Cp_0_3_7    0.000    0.033    0.072    0.894
Cp_0_6_0    0.000    0.067    0.000    0.933
Cp_0_6_3    0.000    0.067    0.033    0.900
Cp_0_6_6    0.000    0.067    0.067    0.867
Cp_0_6_7    0.000    0.067    0.072    0.861
Cp_010_0    0.000    0.100    0.000    0.900
Cp_010_3    0.000    0.100    0.033    0.867
Cp_010_6    0.000    0.100    0.067    0.833
Cp_010_7    0.000    0.100    0.072    0.828
Cp_013_0    0.000    0.133    0.000    0.867
Cp_013_3    0.000    0.133    0.033    0.833
Cp_013_6    0.000    0.133    0.067    0.800
Cp_013_7    0.000    0.133    0.072    0.794
Cp_016_0    0.000    0.167    0.000    0.833
Cp_016_3    0.000    0.167    0.033    0.800
Cp_016_6    0.000    0.167    0.067    0.767
Cp_016_7    0.000    0.167    0.072    0.761
Cp_020_0    0.000    0.200    0.000    0.800
Cp_020_3    0.000    0.200    0.033    0.767
Cp_020_6    0.000    0.200    0.067    0.733
Cp_020_7    0.000    0.200    0.072    0.728
Cp_023_0    0.000    0.233    0.000    0.767
Cp_023_3    0.000    0.233    0.033    0.733
Cp_023_6    0.000    0.233    0.067    0.700
Cp_023_7    0.000    0.233    0.072    0.694
Cp_026_0    0.000    0.267    0.000    0.733
Cp_026_3    0.000    0.267    0.033    0.700
Cp_026_6    0.000    0.267    0.067    0.667
Cp_026_7    0.000    0.267    0.072    0.661
Cp_030_0    0.000    0.300    0.000    0.700
Cp_030_3    0.000    0.300    0.033    0.667
Cp_030_6    0.000    0.300    0.067    0.633
Cp_030_7    0.000    0.300    0.072    0.628
Cp_033_0    0.000    0.333    0.000    0.667
Cp_033_3    0.000    0.333    0.033    0.633
Cp_033_6    0.000    0.333    0.067    0.600
Cp_033_7    0.000    0.333    0.072    0.594
Cp_036_0    0.000    0.367    0.000    0.633
Cp_036_3    0.000    0.367    0.033    0.600
Cp_036_6    0.000    0.367    0.067    0.567
Cp_036_7    0.000    0.367    0.072    0.561
Cp_040_0    0.000    0.400    0.000    0.600
Cp_040_3    0.000    0.400    0.033    0.567
Cp_040_6    0.000    0.400    0.067    0.533
Cp_040_7    0.000    0.400    0.072    0.528
Cp_043_0    0.000    0.433    0.000    0.567
Cp_043_3    0.000    0.433    0.033    0.533
Cp_043_6    0.000    0.433    0.067    0.500
Cp_043_7    0.000    0.433    0.072    0.494
Cp_046_0    0.000    0.467    0.000    0.533
Cp_046_3    0.000    0.467    0.033    0.500
