
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab23        0.232    0.768
ab26        0.265    0.735
ab29        0.297    0.703
ab33        0.330    0.670
ab36        0.363    0.637
ab39        0.395    0.605
ab42        0.428    0.572
ab46        0.461    0.539
ab49        0.493    0.507
ab52        0.526    0.474
ab55        0.559    0.441
ab59        0.591    0.409
ab62        0.624    0.376
ab65        0.657    0.343
ab68        0.689    0.311
ab72        0.722    0.278
ab75        0.755    0.245
ab78        0.787    0.213
ab80        0.802    0.198

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo88        0.884    0.116
fo91        0.917    0.083
fo94        0.950    0.050
fo98.2      0.982    0.018
fo99.1      0.991    0.009

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp67        0.672    0.328
sp70        0.705    0.295
sp73        0.738    0.262
sp77        0.771    0.229
sp80        0.804    0.196
sp80        0.809    0.191

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op88__0     0.000    0.887    0.113
Op91__0     0.000    0.920    0.080
Op94__0     0.000    0.941    0.059
Op88__3     0.033    0.854    0.109
Op91__3     0.033    0.887    0.077
Op94__3     0.033    0.908    0.057
Op88__6     0.066    0.820    0.106
Op91__6     0.066    0.854    0.075
Op94__6     0.066    0.875    0.055
Op88__9     0.100    0.787    0.102
Op91__9     0.100    0.820    0.072
Op94__9     0.100    0.842    0.053
Op88_13     0.133    0.754    0.098
Op91_13     0.133    0.787    0.069
Op94_13     0.133    0.809    0.051
Op88_16     0.166    0.721    0.094
Op91_16     0.166    0.754    0.067
Op94_16     0.166    0.775    0.049
Op88_17     0.170    0.717    0.094
Op91_17     0.170    0.750    0.066
Op94_17     0.170    0.771    0.049

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_0_0_3    0.000    0.000    0.033    0.967
Cp_0_0_6    0.000    0.000    0.067    0.933
Cp_0_0_7    0.000    0.000    0.074    0.926
Cp_0_3_0    0.000    0.033    0.000    0.967
Cp_0_3_3    0.000    0.033    0.033    0.933
Cp_0_3_6    0.000    0.033    0.067    0.900
Cp_0_3_7    0.000    0.033    0.074    0.892
Cp_0_6_0    0.000    0.067    0.000    0.933
Cp_0_6_3    0.000    0.067    0.033    0.900
Cp_0_6_6    0.000    0.067    0.067    0.867
Cp_0_6_7    0.000    0.067    0.074    0.859
Cp_010_0    0.000    0.100    0.000    0.900
Cp_010_3    0.000    0.100    0.033    0.867
Cp_010_6    0.000    0.100    0.067    0.833
Cp_010_7    0.000    0.100    0.074    0.826
Cp_013_0    0.000    0.133    0.000    0.867
Cp_013_3    0.000    0.133    0.033    0.833
Cp_013_6    0.000    0.133    0.067    0.800
Cp_013_7    0.000    0.133    0.074    0.792
Cp_016_0    0.000    0.167    0.000    0.833
Cp_016_3    0.000    0.167    0.033    0.800
Cp_016_6    0.000    0.167    0.067    0.767
Cp_016_7    0.000    0.167    0.074    0.759
Cp_020_0    0.000    0.200    0.000    0.800
Cp_020_3    0.000    0.200    0.033    0.767
Cp_020_6    0.000    0.200    0.067    0.733
Cp_020_7    0.000    0.200    0.074    0.726
Cp_023_0    0.000    0.233    0.000    0.767
Cp_023_3    0.000    0.233    0.033    0.733
Cp_023_6    0.000    0.233    0.067    0.700
Cp_023_7    0.000    0.233    0.074    0.692
Cp_026_0    0.000    0.267    0.000    0.733
Cp_026_3    0.000    0.267    0.033    0.700
Cp_026_6    0.000    0.267    0.067    0.667
Cp_026_7    0.000    0.267    0.074    0.659
Cp_030_0    0.000    0.300    0.000    0.700
Cp_030_3    0.000    0.300    0.033    0.667
Cp_030_6    0.000    0.300    0.067    0.633
Cp_030_7    0.000    0.300    0.074    0.626
Cp_033_0    0.000    0.333    0.000    0.667
Cp_033_3    0.000    0.333    0.033    0.633
Cp_033_6    0.000    0.333    0.067    0.600
Cp_033_7    0.000    0.333    0.074    0.592
Cp_036_0    0.000    0.367    0.000    0.633
Cp_036_3    0.000    0.367    0.033    0.600
Cp_036_6    0.000    0.367    0.067    0.567
Cp_036_7    0.000    0.367    0.074    0.559
Cp_040_0    0.000    0.400    0.000    0.600
Cp_040_3    0.000    0.400    0.033    0.567
Cp_040_6    0.000    0.400    0.067    0.533
Cp_040_7    0.000    0.400    0.074    0.526
Cp_043_0    0.000    0.433    0.000    0.567
Cp_043_3    0.000    0.433    0.033    0.533
Cp_043_6    0.000    0.433    0.067    0.500
Cp_043_7    0.000    0.433    0.074    0.492
Cp_046_0    0.000    0.467    0.000    0.533
Cp_046_3    0.000    0.467    0.033    0.500
Cp_046_6    0.000    0.467    0.067    0.467
Cp_046_7    0.000    0.467    0.074    0.459
