
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab25        0.258    0.742
ab29        0.291    0.709
ab32        0.324    0.676
ab35        0.356    0.644
ab38        0.389    0.611
ab42        0.422    0.578
ab45        0.454    0.546
ab48        0.487    0.513
ab51        0.520    0.480
ab55        0.552    0.448
ab58        0.585    0.415
ab61        0.618    0.382
ab65        0.650    0.350
ab68        0.682    0.318

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo88        0.882    0.118
fo91        0.915    0.085
fo94        0.948    0.052
fo96.4      0.964    0.036

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp78        0.785    0.215
sp80        0.808    0.192

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op90__0     0.000    0.903    0.097
Op93__0     0.000    0.936    0.064
Op94__0     0.000    0.941    0.059
Op90__3     0.033    0.870    0.094
Op93__3     0.033    0.903    0.062
Op94__3     0.033    0.908    0.057
Op90__6     0.066    0.837    0.091
Op93__6     0.066    0.870    0.060
Op94__6     0.066    0.875    0.055
Op90__9     0.100    0.804    0.087
Op93__9     0.100    0.837    0.057
Op94__9     0.100    0.842    0.053
Op90_13     0.133    0.770    0.084
Op93_13     0.133    0.804    0.055
Op94_13     0.133    0.808    0.051
Op90_16     0.166    0.737    0.081
Op93_16     0.166    0.770    0.053
Op94_16     0.166    0.775    0.049
Op90_18     0.180    0.723    0.079
Op93_18     0.180    0.756    0.052
Op94_18     0.180    0.761    0.048

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_0_0_0    0.000    0.005    0.006    0.989
Cp_0_0_3    0.000    0.005    0.039    0.955
Cp_0_0_7    0.000    0.005    0.073    0.922
Cp_0_0_7    0.000    0.005    0.077    0.917
Cp_0_3_0    0.000    0.039    0.006    0.955
Cp_0_3_3    0.000    0.039    0.039    0.922
Cp_0_3_7    0.000    0.039    0.073    0.889
Cp_0_3_7    0.000    0.039    0.077    0.884
Cp_0_7_0    0.000    0.072    0.006    0.922
Cp_0_7_3    0.000    0.072    0.039    0.889
Cp_0_7_7    0.000    0.072    0.073    0.855
Cp_0_7_7    0.000    0.072    0.077    0.851
Cp_010_0    0.000    0.105    0.006    0.889
Cp_010_3    0.000    0.105    0.039    0.855
Cp_010_7    0.000    0.105    0.073    0.822
Cp_010_7    0.000    0.105    0.077    0.817
Cp_013_0    0.000    0.139    0.006    0.855
Cp_013_3    0.000    0.139    0.039    0.822
Cp_013_7    0.000    0.139    0.073    0.789
Cp_013_7    0.000    0.139    0.077    0.784
Cp_017_0    0.000    0.172    0.006    0.822
Cp_017_3    0.000    0.172    0.039    0.789
Cp_017_7    0.000    0.172    0.073    0.755
Cp_017_7    0.000    0.172    0.077    0.751
Cp_020_0    0.000    0.205    0.006    0.789
Cp_020_3    0.000    0.205    0.039    0.755
Cp_020_7    0.000    0.205    0.073    0.722
Cp_020_7    0.000    0.205    0.077    0.717
Cp_023_0    0.000    0.239    0.006    0.755
Cp_023_3    0.000    0.239    0.039    0.722
Cp_023_7    0.000    0.239    0.073    0.689
Cp_023_7    0.000    0.239    0.077    0.684
Cp_027_0    0.000    0.272    0.006    0.722
Cp_027_3    0.000    0.272    0.039    0.689
Cp_027_7    0.000    0.272    0.073    0.655
Cp_027_7    0.000    0.272    0.077    0.651
Cp_027_0    0.000    0.279    0.006    0.716
Cp_027_3    0.000    0.279    0.039    0.682
Cp_027_7    0.000    0.279    0.073    0.649
Cp_027_7    0.000    0.279    0.077    0.644
Cp_0_0_0    0.001    0.005    0.006    0.988
Cp_0_0_3    0.001    0.005    0.039    0.955
Cp_0_0_7    0.001    0.005    0.073    0.921
Cp_0_0_7    0.001    0.005    0.077    0.917
Cp_0_3_0    0.001    0.039    0.006    0.955
Cp_0_3_3    0.001    0.039    0.039    0.921
Cp_0_3_7    0.001    0.039    0.073    0.888
Cp_0_3_7    0.001    0.039    0.077    0.883
Cp_0_7_0    0.001    0.072    0.006    0.921
Cp_0_7_3    0.001    0.072    0.039    0.888
Cp_0_7_7    0.001    0.072    0.073    0.855
Cp_0_7_7    0.001    0.072    0.077    0.850
Cp_010_0    0.001    0.105    0.006    0.888
Cp_010_3    0.001    0.105    0.039    0.855
Cp_010_7    0.001    0.105    0.073    0.821
Cp_010_7    0.001    0.105    0.077    0.817
Cp_013_0    0.001    0.139    0.006    0.855
Cp_013_3    0.001    0.139    0.039    0.821
Cp_013_7    0.001    0.139    0.073    0.788
Cp_013_7    0.001    0.139    0.077    0.783
Cp_017_0    0.001    0.172    0.006    0.821
Cp_017_3    0.001    0.172    0.039    0.788
Cp_017_7    0.001    0.172    0.073    0.755
Cp_017_7    0.001    0.172    0.077    0.750
Cp_020_0    0.001    0.205    0.006    0.788
Cp_020_3    0.001    0.205    0.039    0.755
Cp_020_7    0.001    0.205    0.073    0.721
Cp_020_7    0.001    0.205    0.077    0.717
Cp_023_0    0.001    0.239    0.006    0.755
Cp_023_3    0.001    0.239    0.039    0.721
Cp_023_7    0.001    0.239    0.073    0.688
Cp_023_7    0.001    0.239    0.077    0.683
Cp_027_0    0.001    0.272    0.006    0.721
Cp_027_3    0.001    0.272    0.039    0.688
Cp_027_7    0.001    0.272    0.073    0.655
Cp_027_7    0.001    0.272    0.077    0.650
Cp_027_0    0.001    0.279    0.006    0.715
Cp_027_3    0.001    0.279    0.039    0.682
Cp_027_7    0.001    0.279    0.073    0.648
Cp_027_7    0.001    0.279    0.077    0.643
Cp_0_0_0    0.002    0.005    0.006    0.987
Cp_0_0_3    0.002    0.005    0.039    0.954
Cp_0_0_7    0.002    0.005    0.073    0.921
Cp_0_0_7    0.002    0.005    0.077    0.916
Cp_0_3_0    0.002    0.039    0.006    0.954
Cp_0_3_3    0.002    0.039    0.039    0.921
Cp_0_3_7    0.002    0.039    0.073    0.887
Cp_0_3_7    0.002    0.039    0.077    0.883
Cp_0_7_0    0.002    0.072    0.006    0.921
Cp_0_7_3    0.002    0.072    0.039    0.887
Cp_0_7_7    0.002    0.072    0.073    0.854
Cp_0_7_7    0.002    0.072    0.077    0.849
Cp_010_0    0.002    0.105    0.006    0.887
Cp_010_3    0.002    0.105    0.039    0.854
Cp_010_7    0.002    0.105    0.073    0.821
Cp_010_7    0.002    0.105    0.077    0.816
Cp_013_0    0.002    0.139    0.006    0.854
Cp_013_3    0.002    0.139    0.039    0.821
Cp_013_7    0.002    0.139    0.073    0.787
Cp_013_7    0.002    0.139    0.077    0.783
Cp_017_0    0.002    0.172    0.006    0.821
Cp_017_3    0.002    0.172    0.039    0.787
Cp_017_7    0.002    0.172    0.073    0.754
Cp_017_7    0.002    0.172    0.077    0.749
Cp_020_0    0.002    0.205    0.006    0.787
Cp_020_3    0.002    0.205    0.039    0.754
Cp_020_7    0.002    0.205    0.073    0.721
Cp_020_7    0.002    0.205    0.077    0.716
Cp_023_0    0.002    0.239    0.006    0.754
Cp_023_3    0.002    0.239    0.039    0.721
Cp_023_7    0.002    0.239    0.073    0.687
Cp_023_7    0.002    0.239    0.077    0.683
Cp_027_0    0.002    0.272    0.006    0.721
Cp_027_3    0.002    0.272    0.039    0.687
Cp_027_7    0.002    0.272    0.073    0.654
Cp_027_7    0.002    0.272    0.077    0.649
Cp_027_0    0.002    0.279    0.006    0.714
Cp_027_3    0.002    0.279    0.039    0.681
Cp_027_7    0.002    0.279    0.073    0.647
Cp_027_7    0.002    0.279    0.077    0.643
Cp_0_0_0    0.003    0.005    0.006    0.986
Cp_0_0_3    0.003    0.005    0.039    0.953
Cp_0_0_7    0.003    0.005    0.073    0.920
Cp_0_0_7    0.003    0.005    0.077    0.915
Cp_0_3_0    0.003    0.039    0.006    0.953
Cp_0_3_3    0.003    0.039    0.039    0.920
Cp_0_3_7    0.003    0.039    0.073    0.886
Cp_0_3_7    0.003    0.039    0.077    0.882
Cp_0_7_0    0.003    0.072    0.006    0.920
Cp_0_7_3    0.003    0.072    0.039    0.886
Cp_0_7_7    0.003    0.072    0.073    0.853
Cp_0_7_7    0.003    0.072    0.077    0.848
Cp_010_0    0.003    0.105    0.006    0.886
Cp_010_3    0.003    0.105    0.039    0.853
Cp_010_7    0.003    0.105    0.073    0.820
Cp_010_7    0.003    0.105    0.077    0.815
Cp_013_0    0.003    0.139    0.006    0.853
Cp_013_3    0.003    0.139    0.039    0.820
Cp_013_7    0.003    0.139    0.073    0.786
Cp_013_7    0.003    0.139    0.077    0.782
Cp_017_0    0.003    0.172    0.006    0.820
Cp_017_3    0.003    0.172    0.039    0.786
Cp_017_7    0.003    0.172    0.073    0.753
Cp_017_7    0.003    0.172    0.077    0.748
Cp_020_0    0.003    0.205    0.006    0.786
Cp_020_3    0.003    0.205    0.039    0.753
Cp_020_7    0.003    0.205    0.073    0.720
Cp_020_7    0.003    0.205    0.077    0.715
Cp_023_0    0.003    0.239    0.006    0.753
Cp_023_3    0.003    0.239    0.039    0.720
Cp_023_7    0.003    0.239    0.073    0.686
Cp_023_7    0.003    0.239    0.077    0.682
Cp_027_0    0.003    0.272    0.006    0.720
Cp_027_3    0.003    0.272    0.039    0.686
Cp_027_7    0.003    0.272    0.073    0.653
Cp_027_7    0.003    0.272    0.077    0.648
Cp_027_0    0.003    0.279    0.006    0.713
Cp_027_3    0.003    0.279    0.039    0.680
Cp_027_7    0.003    0.279    0.073    0.646
Cp_027_7    0.003    0.279    0.077    0.642
Cp_0_0_0    0.004    0.005    0.006    0.985
Cp_0_0_3    0.004    0.005    0.039    0.952
Cp_0_0_7    0.004    0.005    0.073    0.918
Cp_0_0_7    0.004    0.005    0.077    0.914
Cp_0_3_0    0.004    0.039    0.006    0.952
Cp_0_3_3    0.004    0.039    0.039    0.918
Cp_0_3_7    0.004    0.039    0.073    0.885
Cp_0_3_7    0.004    0.039    0.077    0.880
Cp_0_7_0    0.004    0.072    0.006    0.918
Cp_0_7_3    0.004    0.072    0.039    0.885
Cp_0_7_7    0.004    0.072    0.073    0.852
Cp_0_7_7    0.004    0.072    0.077    0.847
Cp_010_0    0.004    0.105    0.006    0.885
Cp_010_3    0.004    0.105    0.039    0.852
Cp_010_7    0.004    0.105    0.073    0.818
Cp_010_7    0.004    0.105    0.077    0.814
Cp_013_0    0.004    0.139    0.006    0.852
Cp_013_3    0.004    0.139    0.039    0.818
Cp_013_7    0.004    0.139    0.073    0.785
Cp_013_7    0.004    0.139    0.077    0.780
Cp_017_0    0.004    0.172    0.006    0.818
Cp_017_3    0.004    0.172    0.039    0.785
Cp_017_7    0.004    0.172    0.073    0.752
Cp_017_7    0.004    0.172    0.077    0.747
Cp_020_0    0.004    0.205    0.006    0.785
Cp_020_3    0.004    0.205    0.039    0.752
Cp_020_7    0.004    0.205    0.073    0.718
Cp_020_7    0.004    0.205    0.077    0.714
Cp_023_0    0.004    0.239    0.006    0.752
Cp_023_3    0.004    0.239    0.039    0.718
Cp_023_7    0.004    0.239    0.073    0.685
Cp_023_7    0.004    0.239    0.077    0.680
Cp_027_0    0.004    0.272    0.006    0.718
Cp_027_3    0.004    0.272    0.039    0.685
Cp_027_7    0.004    0.272    0.073    0.652
Cp_027_7    0.004    0.272    0.077    0.647
Cp_027_0    0.004    0.279    0.006    0.712
Cp_027_3    0.004    0.279    0.039    0.679
Cp_027_7    0.004    0.279    0.073    0.645
Cp_027_7    0.004    0.279    0.077    0.640
Cp_0_0_0    0.005    0.005    0.006    0.984
Cp_0_0_3    0.005    0.005    0.039    0.950
Cp_0_0_7    0.005    0.005    0.073    0.917
Cp_0_0_7    0.005    0.005    0.077    0.912
Cp_0_3_0    0.005    0.039    0.006    0.950
Cp_0_3_3    0.005    0.039    0.039    0.917
Cp_0_3_7    0.005    0.039    0.073    0.884
Cp_0_3_7    0.005    0.039    0.077    0.879
