
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab23        0.233    0.767
ab26        0.265    0.735
ab29        0.298    0.702
ab33        0.331    0.669
ab36        0.363    0.637
ab39        0.396    0.604
ab42        0.429    0.571
ab46        0.461    0.539
ab49        0.494    0.506
ab52        0.527    0.473
ab55        0.559    0.441
ab59        0.592    0.408
ab62        0.625    0.375
ab65        0.657    0.343
ab66        0.662    0.338

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo88        0.890    0.110
fo92        0.923    0.077
fo95        0.955    0.045
fo96.4      0.964    0.036

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp79        0.796    0.204
sp80        0.808    0.192

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op90__0     0.000    0.908    0.092
Op94__0     0.000    0.941    0.059
Op94__0     0.000    0.944    0.056
Op90__3     0.033    0.875    0.089
Op94__3     0.033    0.908    0.057
Op94__3     0.033    0.911    0.054
Op90__6     0.066    0.842    0.086
Op94__6     0.066    0.875    0.055
Op94__6     0.066    0.878    0.052
Op90__9     0.100    0.808    0.083
Op94__9     0.100    0.842    0.053
Op94__9     0.100    0.845    0.050
Op90_13     0.133    0.775    0.080
Op94_13     0.133    0.808    0.051
Op94_13     0.133    0.811    0.049
Op90_16     0.161    0.747    0.077
Op94_16     0.161    0.780    0.049
Op94_16     0.161    0.783    0.047

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_0_0_0    0.000    0.005    0.005    0.990
Cp_0_0_3    0.000    0.005    0.039    0.956
Cp_0_0_7    0.000    0.005    0.072    0.923
Cp_0_0_7    0.000    0.005    0.072    0.923
Cp_0_3_0    0.000    0.038    0.005    0.956
Cp_0_3_3    0.000    0.038    0.039    0.923
Cp_0_3_7    0.000    0.038    0.072    0.890
Cp_0_3_7    0.000    0.038    0.072    0.889
Cp_0_7_0    0.000    0.072    0.005    0.923
Cp_0_7_3    0.000    0.072    0.039    0.890
Cp_0_7_7    0.000    0.072    0.072    0.856
Cp_0_7_7    0.000    0.072    0.072    0.856
Cp_010_0    0.000    0.105    0.005    0.890
Cp_010_3    0.000    0.105    0.039    0.856
Cp_010_7    0.000    0.105    0.072    0.823
Cp_010_7    0.000    0.105    0.072    0.823
Cp_013_0    0.000    0.138    0.005    0.856
Cp_013_3    0.000    0.138    0.039    0.823
Cp_013_7    0.000    0.138    0.072    0.790
Cp_013_7    0.000    0.138    0.072    0.789
Cp_017_0    0.000    0.172    0.005    0.823
Cp_017_3    0.000    0.172    0.039    0.790
Cp_017_7    0.000    0.172    0.072    0.756
Cp_017_7    0.000    0.172    0.072    0.756
Cp_020_0    0.000    0.205    0.005    0.790
Cp_020_3    0.000    0.205    0.039    0.756
Cp_020_7    0.000    0.205    0.072    0.723
Cp_020_7    0.000    0.205    0.072    0.723
Cp_022_0    0.000    0.226    0.005    0.769
Cp_022_3    0.000    0.226    0.039    0.735
Cp_022_7    0.000    0.226    0.072    0.702
Cp_022_7    0.000    0.226    0.072    0.702
Cp_0_0_0    0.001    0.005    0.005    0.989
