
Solution: Pl(h)     
            Endmember fractions:
            abh      an      
ab24        0.240    0.760
ab27        0.273    0.727
ab30        0.306    0.694
ab33        0.338    0.662
ab37        0.371    0.629
ab40        0.404    0.596
ab43        0.436    0.564
ab46        0.469    0.531
ab50        0.502    0.498
ab53        0.534    0.466
ab56        0.567    0.433
ab59        0.600    0.400
ab63        0.632    0.368
ab66        0.665    0.335
ab69        0.698    0.302
ab73        0.730    0.270
ab76        0.763    0.237
ab79        0.796    0.204
ab80        0.802    0.198

Solution: O(HP)     
            Endmember fractions:
            fo       fa      
fo88        0.881    0.119
fo91        0.914    0.086
fo94        0.947    0.053
fo98.0      0.980    0.020
fo99.1      0.991    0.009

Solution: Sp(HP)    
            Endmember fractions:
            sp       herc    
sp68        0.681    0.319
sp71        0.714    0.286
sp74        0.747    0.253
sp78        0.780    0.220
sp80        0.808    0.192

Solution: Opx(HP)   
            Endmember fractions:
            mgts     en       fs       * see footnotes 1 & 2
Op89__0     0.000    0.892    0.108
Op92__0     0.000    0.925    0.075
Op95__0     0.000    0.951    0.049
Op89__3     0.033    0.859    0.105
Op92__3     0.033    0.892    0.073
Op95__3     0.033    0.917    0.048
Op89__6     0.066    0.825    0.101
Op92__6     0.066    0.859    0.070
Op95__6     0.066    0.884    0.046
Op89__9     0.100    0.792    0.098
Op92__9     0.100    0.825    0.068
Op95__9     0.100    0.851    0.045
Op89_13     0.133    0.759    0.094
Op92_13     0.133    0.792    0.065
Op95_13     0.133    0.818    0.043
Op89_16     0.166    0.726    0.090
Op92_16     0.166    0.759    0.063
Op95_16     0.166    0.785    0.041
Op89_16     0.170    0.722    0.090
Op92_16     0.170    0.755    0.062
Op95_16     0.170    0.781    0.041

1 - Although the bulk composition of pseudocompounds for this solution is fixed,
 the proportions of its endmembers may vary due to respeciation.


2 - Proportions output here may sum to <1 because the ordered species
may have non-zero initial proportions.


Solution: Cpx(HP)   
            Endmember fractions:
            cats     jd       hed      di      
Cp_0_0_3    0.000    0.000    0.033    0.967
Cp_0_0_6    0.000    0.000    0.067    0.933
Cp_0_0_7    0.000    0.000    0.076    0.924
Cp_0_3_0    0.000    0.033    0.000    0.967
Cp_0_3_3    0.000    0.033    0.033    0.933
Cp_0_3_6    0.000    0.033    0.067    0.900
Cp_0_3_7    0.000    0.033    0.076    0.891
Cp_0_6_0    0.000    0.067    0.000    0.933
Cp_0_6_3    0.000    0.067    0.033    0.900
Cp_0_6_6    0.000    0.067    0.067    0.867
Cp_0_6_7    0.000    0.067    0.076    0.857
Cp_010_0    0.000    0.100    0.000    0.900
Cp_010_3    0.000    0.100    0.033    0.867
Cp_010_6    0.000    0.100    0.067    0.833
Cp_010_7    0.000    0.100    0.076    0.824
Cp_013_0    0.000    0.133    0.000    0.867
Cp_013_3    0.000    0.133    0.033    0.833
Cp_013_6    0.000    0.133    0.067    0.800
Cp_013_7    0.000    0.133    0.076    0.791
Cp_016_0    0.000    0.167    0.000    0.833
Cp_016_3    0.000    0.167    0.033    0.800
Cp_016_6    0.000    0.167    0.067    0.767
Cp_016_7    0.000    0.167    0.076    0.757
Cp_020_0    0.000    0.200    0.000    0.800
Cp_020_3    0.000    0.200    0.033    0.767
Cp_020_6    0.000    0.200    0.067    0.733
Cp_020_7    0.000    0.200    0.076    0.724
Cp_023_0    0.000    0.233    0.000    0.767
Cp_023_3    0.000    0.233    0.033    0.733
Cp_023_6    0.000    0.233    0.067    0.700
Cp_023_7    0.000    0.233    0.076    0.691
Cp_026_0    0.000    0.267    0.000    0.733
Cp_026_3    0.000    0.267    0.033    0.700
Cp_026_6    0.000    0.267    0.067    0.667
Cp_026_7    0.000    0.267    0.076    0.657
Cp_030_0    0.000    0.300    0.000    0.700
Cp_030_3    0.000    0.300    0.033    0.667
Cp_030_6    0.000    0.300    0.067    0.633
Cp_030_7    0.000    0.300    0.076    0.624
Cp_033_0    0.000    0.333    0.000    0.667
Cp_033_3    0.000    0.333    0.033    0.633
Cp_033_6    0.000    0.333    0.067    0.600
Cp_033_7    0.000    0.333    0.076    0.591
Cp_036_0    0.000    0.367    0.000    0.633
Cp_036_3    0.000    0.367    0.033    0.600
Cp_036_6    0.000    0.367    0.067    0.567
Cp_036_7    0.000    0.367    0.076    0.557
Cp_040_0    0.000    0.400    0.000    0.600
Cp_040_3    0.000    0.400    0.033    0.567
Cp_040_6    0.000    0.400    0.067    0.533
Cp_040_7    0.000    0.400    0.076    0.524
Cp_043_0    0.000    0.433    0.000    0.567
Cp_043_3    0.000    0.433    0.033    0.533
Cp_043_6    0.000    0.433    0.067    0.500
Cp_043_7    0.000    0.433    0.076    0.491
Cp_046_0    0.000    0.467    0.000    0.533
Cp_046_3    0.000    0.467    0.033    0.500
Cp_046_6    0.000    0.467    0.067    0.467
Cp_046_7    0.000    0.467    0.076    0.457
