          Origin time           Lat      Lon     Dp  Mag
1990 (002) 01 02 20 21 32.6   13.408   144.439  135  5.7 1990002202132
1990 (005) 01 05 10 10 21.8   -8.800   106.442   29  5.3 1990005101021
1990 (006) 01 06 21 44 56.2  -10.681    92.987   14  5.7 1990006214456
1990 (008) 01 08 19 44 34.6   52.038  -169.446   33  5.6 1990008194434
1990 (014) 01 14 03 38 04.6   45.345   150.913   48  5.7 1990014033804
1990 (014) 01 14 07 08 53.8   -8.208   108.818   88  5.0 1990014070853
1990 (020) 01 20 02 55 54.8   40.097   142.314   47  5.2 1990020025554
1990 (020) 01 20 09 13 13.9   -6.649   105.911   64  5.3 1990020091313
1990 (024) 01 24 19 33 31.1   14.603   119.437   23  5.6 1990024193331
1990 (028) 01 28 03 58 49.2   -5.883   105.670  104  5.3 1990028035849
1990 (039) 02 08 07 15 32.2    9.755   124.694   25  6.2 1990039071532
1990 (039) 02 08 07 46 59.7    9.725   124.625   30  6.0 1990039074659
1990 (047) 02 16 00 15 18.5   14.392   119.229   29  5.1 1990047001518
1990 (048) 02 17 02 28 01.8   29.533   130.731   65  5.9 1990048022801
1990 (049) 02 18 12 21 58.0   -5.516   149.432  142  5.9 1990049122158
1990 (051) 02 20 06 53 39.8   34.706   139.252   14  6.1 1990051065339
1990 (053) 02 22 16 51 51.0  -11.458    66.380   12  5.7 1990053165151
1990 (066) 03 07 18 22 03.1  -17.295    66.675   10  5.2 1990066182203
1990 (069) 03 10 10 15 03.8   50.907   157.244   50  5.7 1990069101503
1990 (071) 03 12 14 41 19.4   51.484  -175.032   13  6.0 1990071144119
1990 (073) 03 14 03 44 49.6    4.575   122.620  639  5.6 1990073034449
1990 (077) 03 18 23 19 29.7  -20.286    66.740   20  5.8 1990077231929
1990 (085) 03 26 22 08 57.1   44.462   148.772   33  5.0 1990085220857
1990 (085) 03 26 22 47 16.7    9.253   125.606   39  5.6 1990085224716
1990 (089) 03 30 00 42 06.9   20.231   122.038  123  5.5 1990089004206
1990 (090) 03 31 19 31 42.7   42.891   146.969   21  5.9 1990090193142
1990 (090) 03 31 20 19 35.3  -39.970    45.783   10  5.3 1990090201935
