     0.000     0.182    13.167     12868267.500     0.000     0.000  2750.000      00********
     0.000    -0.772    39.085     38604802.500     0.000     0.000  2750.000      00********
     0.000    -1.249    51.784     51473070.000     0.000     0.000  2750.000      00********
     0.000    -1.933    69.738     69925680.000     0.000     0.000  2750.000      00********
     0.000    -2.203    76.726     77209605.000     0.000     0.000  2750.000      00********
     0.000    -2.680    88.955     90077872.500     0.000     0.000  2750.000      00********
     0.000    -3.157   101.027    102946140.000     0.000     0.000  2750.000      00********
     0.000    -3.634   112.941    115814407.500     0.000     0.000  2750.000      00********
     0.000    -4.588   136.347    141550942.500     0.000     0.000  2750.000      00********
     0.000    -5.065   147.787    154419210.000     0.000     0.000  2750.000      00********
     0.000    -5.542   159.070    167287477.500     0.000     0.000  2750.000      00********
     0.000    -6.019   170.194    180155745.000     0.000     0.000  2750.000      00********
     0.000    -7.054   193.852    208077457.500     0.000     0.000  2750.000      00********
     0.000    -7.927   213.228    231628815.000     0.000     0.000  2750.000      00********
     0.000    -8.881   233.791    257365350.000     0.000     0.000  2750.000      00********
     0.000    -9.834   253.704    283074907.500     0.000     0.000  2750.000      00********
     0.000   -10.856   274.372    310645912.500     0.000     0.000  2750.000      00********
     0.000   -11.742   294.311    335417143.500     0.000     0.000  2850.000      00********
     0.000   -12.696   315.577    362089552.500     0.000     0.000  2850.000      00********
     0.000   -13.650   336.626    388761961.500     0.000     0.000  2850.000      00********
     0.000   -15.558   378.139    442106779.500     0.000     0.000  2850.000      00********
     0.000   -17.466   418.781    495451597.500     0.000     0.000  2850.000      00********
     0.000   -19.374   458.558    548796415.500     0.000     0.000  2850.000      00********
     0.000   -21.000   491.759    594256936.500     0.000     0.000  2850.000      00********
     0.000   -23.190   537.974    657634441.500     0.000     0.000  2950.000      00********
     0.000   -25.911   594.755    736378821.000     0.000     0.000  2950.000      00********
     0.000   -27.006   617.400    768067573.500     0.000     0.000  2950.000      00********
     0.000   -28.913   656.526    823255200.000     0.000     0.000  2950.000      00********
     0.000   -30.821   695.312    878471766.000     0.000     0.000  2950.000      00********
     0.000   -32.006   719.201    912765073.500     0.000     0.000  2950.000      00********
     0.000   -34.637   744.301    997950445.163     7.946     4.536  3299.978      96    8545
     0.000   -37.499   771.228   1090590310.712     7.941     4.528  3298.905      96    9150
     0.000   -40.361   797.916   1183214977.389     7.939     4.521  3298.532      96   10055
     0.000   -43.223   824.419   1275836492.795     7.949     4.518  3298.978      96   10961
     0.000   -46.085   850.471   1368569572.138     7.956     4.517  3306.779      96   11566
     0.000   -48.946   876.145   1461394681.677     7.965     4.515  3307.359      96   12471
     0.000   -51.808   901.497   1554257522.714     7.957     4.506  3307.470      96   13075
     0.000   -54.670   926.545   1647124886.335     7.963     4.502  3307.704      96   13980
     0.000   -57.532   951.247   1739992810.394     7.955     4.493  3307.477      96   14585
     0.000   -60.394   975.678   1832860297.953     7.958     4.488  3307.624      96   15490
     0.000   -63.256   999.844   1925750355.892     7.964     4.485  3308.997      96   16094
     0.000   -66.118  1023.755   2018676738.356     7.965     4.478  3309.760      96   16999
     0.000   -70.887  1063.095   2173537526.179     7.959     4.466  3310.072      96   18207
     0.000   -75.657  1101.649   2328469393.299     7.963     4.458  3311.132      96   19714
     0.000   -80.427  1139.333   2483410602.790     7.954     4.444  3311.156      96   20921
     0.000   -85.197  1175.950   2638393913.154     7.953     4.433  3312.582      96   22128
     0.000   -89.966  1211.150   2793397021.378     7.948     4.420  3313.324      96   23335
     0.000   -94.736  1244.554   2948487910.927     7.949     4.409  3314.734      96   24842
     0.000   -99.506  1275.722   3103626610.627     7.942     4.397  3315.971      96   26048
     0.000  -104.276  1303.909   3258838116.763     7.944     4.388  3317.668      96   27253
     0.000  -107.413  1320.000   3360969366.376     7.948     4.385  3319.449      96   28156
     0.000  -113.815  1332.804   3569480985.519     8.002     4.407  3322.868      99   28928
     0.000  -118.585  1342.344   3725064277.559     8.015     4.412  3326.849      99   30130
     0.000  -123.355  1351.884   3880835238.970     8.026     4.412  3330.744      99   31333
     0.000  -128.124  1361.422   4036767502.231     8.042     4.416  3334.992      99   32836
     0.000  -132.894  1370.962   4192912869.775     8.049     4.416  3338.752      99   34039
     0.000  -137.664  1380.502   4349232911.916     8.064     4.421  3342.359      99   35241
     0.000  -142.434  1390.042   4505740135.366     8.077     4.423  3346.497      99   36744
     0.000  -147.203  1399.580   4662392432.836     8.083     4.424  3350.299      99   37947
     0.000  -151.973  1402.166   4819274658.271     8.100     4.430  3354.776      99   39148
     0.000  -156.743  1404.433   4976380078.852     8.124     4.441  3359.687      99   40648
     0.000  -161.513  1406.699   5133697571.147     8.132     4.445  3364.107      99   41849
     0.000  -166.282  1408.964   5291192290.502     8.148     4.450  3368.514      99   43050
     0.000  -171.052  1411.231   5448938739.590     8.170     4.461  3373.305      99   44550
     0.000  -175.822  1413.497   5606892628.803     8.179     4.462  3377.635      99   45751
     0.000  -180.592  1415.763   5765062793.603     8.198     4.471  3382.385      99   47252
     0.000  -185.361  1418.028   5923406142.393     8.211     4.478  3386.705      99   48452
     0.000  -190.131  1420.295   6081988480.738     8.225     4.482  3391.019      99   49653
     0.000  -194.901  1422.561   6240785495.547     8.242     4.490  3395.716      99   51154
     0.000  -199.671  1424.827   6399787000.249     8.255     4.496  3399.997      99   52354
     0.000  -204.440  1427.093   6558967082.242     8.270     4.501  3404.619      99   53855
     0.000  -209.210  1429.359   6718384869.291     8.280     4.505  3408.946      99   55056
     0.000  -213.980  1431.625   6878017170.559     8.300     4.514  3413.625      99   56556
     0.000  -218.750  1433.891   7037853921.982     8.309     4.517  3417.898      99   57757
     0.000  -228.289  1438.423   7358120401.463     8.338     4.530  3426.850      99   60458
     0.000  -237.829  1442.955   7679261618.692     8.363     4.539  3435.910      99   63160
     0.000  -247.368  1447.487   8001217773.752     8.390     4.551  3445.017      99   65861
     0.000  -256.908  1452.019   8324067956.141     8.416     4.562  3454.311      99   68562
     0.000  -266.447  1456.551   8647760192.353     8.438     4.569  3463.748      99   71264
     0.000  -275.987  1461.083   8972373982.819     8.464     4.581  3473.283      99   73965
     0.000  -285.526  1465.615   9297874769.928     8.487     4.592  3483.418      99   76666
     0.000  -290.296  1467.881   9460996473.965     8.496     4.595  3488.423      99   77867
