#Time: 	1.000 My
#x(km)	w(m)	h(m)
-160.00	-0.049	659.321
-151.99	0.000	659.272
-143.98	-0.049	659.321
-135.96	-0.210	659.482
-127.95	-0.498	659.770
-119.94	-0.920	660.192
-111.93	-1.473	660.745
-103.92	-2.136	661.408
-95.90	-2.852	662.124
-87.89	-3.516	662.788
-79.88	-3.961	663.233
-71.87	-3.941	663.213
-63.86	-3.119	662.391
-55.84	-1.071	660.343
-47.83	2.695	656.577
-39.82	8.698	650.574
-31.81	17.396	641.876
-23.80	29.050	630.222
-15.78	43.533	615.739
-7.77	60.067	599.205
0.24	76.897	582.246
8.25	90.922	574.763
16.27	100.580	609.842
24.28	105.228	648.626
32.29	105.309	642.747
40.30	102.590	632.736
48.31	99.522	646.642
56.33	98.642	619.432
64.34	103.406	585.359
72.35	118.385	470.972
80.36	149.460	334.806
88.37	202.466	166.774
96.39	281.487	37.396
104.40	387.595	-67.259
112.41	517.408	-153.999
120.42	661.867	-231.897
128.43	803.749	-125.072
136.45	916.723	8.188
144.46	988.891	127.619
152.47	1018.030	111.375
160.48	1007.742	30.785
168.49	964.570	52.333
176.51	895.997	54.513
184.52	809.185	309.579
192.53	710.281	324.573
200.54	604.128	642.138
208.55	494.257	1286.094
216.57	383.032	1678.702
224.58	271.882	1049.290
232.59	161.565	683.560
240.60	52.426	621.055
248.61	-55.358	217.717
256.63	-161.565	-172.014
264.64	-265.743	-319.401
272.65	-367.057	-285.641
280.66	-464.189	-263.235
288.67	-555.296	-271.513
296.69	-638.061	-283.795
304.70	-709.888	-331.381
312.71	-768.270	-409.717
320.72	-811.418	-921.192
328.73	-839.175	-402.436
336.75	-854.285	399.777
344.76	-859.607	-131.948
352.77	-851.821	-170.034
360.78	-828.075	90.064
368.80	-788.463	213.723
376.81	-734.040	341.049
384.82	-666.326	365.371
392.83	-586.935	355.373
400.84	-497.679	265.845
408.86	-401.169	180.485
416.87	-301.082	138.868
424.88	-202.292	105.039
432.89	-110.659	83.082
440.90	-29.586	142.060
448.92	40.940	99.426
456.93	103.085	-8.011
464.94	158.833	120.873
472.95	206.476	549.390
480.96	241.724	548.583
488.98	264.927	360.727
496.99	280.105	379.377
505.00	290.423	439.361
513.01	297.212	625.299
521.02	299.641	732.125
529.04	296.948	782.023
537.05	290.885	711.432
545.06	285.076	697.927
553.07	281.814	704.129
561.08	281.498	705.917
569.10	283.180	729.433
577.11	284.844	736.560
585.12	284.075	771.191
593.13	278.273	777.919
601.14	265.426	803.415
609.16	244.186	829.759
617.17	214.245	884.292
625.18	176.698	945.995
633.19	134.959	987.734
641.20	95.548	1027.145
649.22	61.960	1060.733
657.23	35.548	1087.145
665.24	16.277	1106.416
673.25	3.314	1119.379
681.27	-4.538	1127.230
689.28	-8.549	1131.242
697.29	-9.890	1132.583
705.30	-9.539	1132.232
713.31	-8.253	1130.946
721.33	-6.572	1129.265
729.34	-4.856	1127.549
737.35	-3.315	1126.008
745.36	-2.049	1124.742
753.37	-1.086	1123.779
761.39	-0.407	1123.100
769.40	0.030	1122.663
777.41	0.279	1122.414
785.42	0.391	1122.302
793.43	0.411	1122.282
801.45	0.376	1122.317
809.46	0.313	1122.380
817.47	0.241	1122.452
825.48	0.172	1122.521
833.49	0.113	1122.580
841.51	0.066	1122.627
849.52	0.031	1122.662
857.53	0.008	1122.685
865.54	-0.007	1122.700
873.55	-0.014	1122.707
881.57	-0.017	1122.710
889.58	-0.017	1122.710
897.59	-0.015	1122.708
905.60	-0.012	1122.705
913.61	-0.009	1122.702
921.63	-0.006	1122.699
929.64	-0.004	1122.697
937.65	-0.002	1122.695
945.66	-0.001	1122.694
953.67	-0.000	1122.693
961.69	0.000	1122.693
969.70	0.001	1122.692
977.71	0.001	1122.692
985.72	0.001	1122.692
993.73	0.001	1122.692
1001.75	0.000	1122.693
1009.76	0.000	1122.693
1017.77	0.000	1122.693
1025.78	0.000	1122.693
1033.80	0.000	1122.693
1041.81	0.000	1122.693
1049.82	-0.000	1122.693
1057.83	-0.000	1122.693
1065.84	-0.000	1122.693
1073.86	-0.000	1122.693
1081.87	-0.000	1122.693
1089.88	-0.000	1122.693
1097.89	-0.000	1122.693
1105.90	-0.000	1122.693
1113.92	-0.000	1122.693
1121.93	-0.000	1122.693
1129.94	-0.000	1122.693
1137.95	-0.000	1122.693
1145.96	0.000	1122.693
1153.98	0.000	1122.693
1161.99	0.000	1122.693
1170.00	0.000	1122.693
1178.01	0.000	1122.693
1186.02	0.000	1122.693
1194.04	0.000	1122.693
1202.05	0.000	1122.693
1210.06	0.000	1122.693
1218.07	0.000	1122.693
1226.08	0.000	1122.693
1234.10	-0.000	1122.693
1242.11	-0.000	1122.693
1250.12	-0.000	1122.693
1258.13	-0.000	1122.693
1266.14	-0.000	1122.693
1274.16	-0.000	1122.693
1282.17	-0.000	1122.693
1290.18	-0.000	1122.693
1298.19	-0.000	1122.693
1306.20	-0.000	1122.693
1314.22	-0.000	1122.693
1322.23	-0.000	1122.693
1330.24	0.000	1122.693
1338.25	0.000	1122.693
1346.27	0.000	1122.693
1354.28	0.000	1122.693
1362.29	0.000	1122.693
1370.30	0.000	1122.693
1378.31	0.000	1122.693
1386.33	0.000	1122.693
1394.34	0.000	1122.693
1402.35	0.000	1122.693
1410.36	0.000	1122.693
1418.37	-0.000	1122.693
1426.39	-0.000	1122.693
1434.40	-0.000	1122.693
1442.41	-0.000	1122.693
1450.42	-0.000	1122.693
1458.43	-0.000	1122.693
1466.45	-0.000	1122.693
1474.46	-0.000	1122.693
1482.47	-0.000	1122.693
1490.48	-0.000	1122.693
1498.49	-0.000	1122.693
1506.51	-0.000	1122.693
1514.52	0.000	1122.693
1522.53	0.000	1122.693
1530.54	0.000	1122.693
1538.55	0.000	1122.693
1546.57	0.000	1122.693
1554.58	0.000	1122.693
1562.59	0.000	1122.693
1570.60	0.000	1122.693
1578.61	0.000	1122.693
1586.63	0.000	1122.693
1594.64	0.000	1122.693
1602.65	-0.000	1122.693
1610.66	-0.000	1122.693
1618.67	-0.000	1122.693
1626.69	-0.000	1122.693
1634.70	-0.000	1122.693
1642.71	-0.000	1122.693
1650.72	-0.000	1122.693
1658.73	-0.000	1122.693
1666.75	-0.000	1122.693
1674.76	-0.000	1122.693
1682.77	-0.000	1122.693
1690.78	-0.000	1122.693
1698.80	0.000	1122.693
1706.81	0.000	1122.693
1714.82	0.000	1122.693
1722.83	0.000	1122.693
1730.84	0.000	1122.693
1738.86	0.000	1122.693
1746.87	0.000	1122.693
1754.88	0.000	1122.693
1762.89	0.000	1122.693
1770.90	0.000	1122.693
1778.92	0.000	1122.693
1786.93	0.000	1122.693
1794.94	-0.000	1122.693
1802.95	-0.000	1122.693
1810.96	-0.000	1122.693
1818.98	-0.000	1122.693
1826.99	-0.000	1122.693
1835.00	-0.000	1122.693
1843.01	-0.000	1122.693
1851.02	-0.000	1122.693
1859.04	-0.000	1122.693
1867.05	-0.000	1122.693
1875.06	-0.000	1122.693
1883.07	0.000	1122.693
1891.08	0.000	1122.693
1899.10	0.000	1122.693
1907.11	0.000	1122.693
1915.12	0.000	1122.693
1923.13	0.000	1122.693
1931.14	0.000	1122.693
1939.16	0.000	1122.693
1947.17	0.000	1122.693
1955.18	0.000	1122.693
1963.19	0.000	1122.693
1971.20	0.000	1122.693
1979.22	-0.000	1122.693
1987.23	-0.000	1122.693
1995.24	-0.000	1122.693
2003.25	-0.000	1122.693
2011.27	-0.000	1122.693
2019.28	-0.000	1122.693
2027.29	-0.000	1122.693
2035.30	-0.000	1122.693
2043.31	-0.000	1122.693
2051.33	-0.000	1122.693
2059.34	-0.000	1122.693
2067.35	0.000	1122.693
2075.36	0.000	1122.693
2083.37	0.000	1122.693
2091.39	0.000	1122.693
2099.40	0.000	1122.693
2107.41	0.000	1122.693
2115.42	0.000	1122.693
2123.43	0.000	1122.693
2131.45	0.000	1122.693
2139.46	0.000	1122.693
2147.47	0.000	1122.693
2155.48	0.000	1122.693
2163.49	-0.000	1122.693
2171.51	-0.000	1122.693
2179.52	-0.000	1122.693
2187.53	-0.000	1122.693
2195.54	-0.000	1122.693
2203.55	-0.000	1122.693
2211.57	-0.000	1122.693
2219.58	-0.000	1122.693
2227.59	-0.000	1122.693
2235.60	-0.000	1122.693
2243.61	-0.000	1122.693
2251.63	0.000	1122.693
2259.64	0.000	1122.693
2267.65	0.000	1122.693
2275.66	0.000	1122.693
2283.67	0.000	1122.693
2291.69	0.000	1122.693
2299.70	0.000	1122.693
2307.71	0.000	1122.693
2315.72	0.000	1122.693
2323.74	0.000	1122.693
2331.75	0.000	1122.693
2339.76	0.000	1122.693
2347.77	-0.000	1122.693
2355.78	-0.000	1122.693
2363.80	-0.000	1122.693
2371.81	-0.000	1122.693
2379.82	-0.000	1122.693
2387.83	-0.000	1122.693
2395.84	-0.000	1122.693
2403.86	-0.000	1122.693
2411.87	-0.000	1122.693
2419.88	-0.000	1122.693
2427.89	-0.000	1122.693
2435.90	-0.000	1122.693
2443.92	0.000	1122.693
2451.93	0.000	1122.693
2459.94	0.000	1122.693
2467.95	0.000	1122.693
2475.96	0.000	1122.693
2483.98	0.000	1122.693
2491.99	-0.000	1122.693
2500.00	0.000	1122.693
