#Time: 	1.000 My
#x(km)	w(m)	h(m)
-160.00	0.335	658.937
-151.99	0.000	659.272
-143.98	0.335	658.937
-135.96	1.386	657.886
-127.95	3.198	656.074
-119.94	5.818	653.454
-111.93	9.289	649.983
-103.92	13.656	645.616
-95.90	18.962	640.310
-87.89	25.245	634.027
-79.88	32.542	626.729
-71.87	40.886	618.386
-63.86	50.302	608.970
-55.84	60.808	598.464
-47.83	72.415	586.857
-39.82	85.122	574.150
-31.81	98.913	560.359
-23.80	113.759	545.513
-15.78	129.614	529.658
-7.77	146.410	512.862
0.24	164.055	495.087
8.25	182.433	483.252
16.27	201.423	508.999
24.28	220.896	532.958
32.29	240.713	507.343
40.30	260.724	474.602
48.31	280.762	465.402
56.33	300.632	417.442
64.34	320.113	368.652
72.35	338.956	250.401
80.36	356.885	127.381
88.37	373.585	-4.345
96.39	388.688	-69.805
104.40	401.771	-81.435
112.41	412.358	-48.949
120.42	419.922	10.047
128.43	423.894	254.783
136.45	423.672	501.239
144.46	418.838	697.672
152.47	409.140	720.265
160.48	394.477	644.049
168.49	374.878	642.025
176.51	350.490	600.020
184.52	321.564	797.200
192.53	288.440	746.414
200.54	251.536	994.730
208.55	211.333	1569.018
216.57	168.368	1893.366
224.58	123.221	1197.951
232.59	76.505	768.620
240.60	28.854	644.627
248.61	-19.080	181.439
256.63	-66.643	-266.936
264.64	-113.186	-471.958
272.65	-158.072	-494.626
280.66	-200.689	-526.735
288.67	-240.458	-586.350
296.69	-276.844	-645.012
304.70	-309.364	-731.904
312.71	-337.603	-840.384
320.72	-361.222	-1371.387
328.73	-379.974	-861.636
336.75	-393.714	-60.793
344.76	-402.382	-589.173
352.77	-405.948	-615.907
360.78	-404.472	-333.539
368.80	-398.115	-176.625
376.81	-387.122	-5.870
384.82	-371.811	70.857
392.83	-352.566	121.004
400.84	-329.821	97.986
408.86	-304.061	83.376
416.87	-275.809	113.595
424.88	-245.617	148.364
432.89	-214.046	186.469
440.90	-181.631	294.106
448.92	-148.863	289.229
456.93	-116.185	211.258
464.94	-84.010	363.716
472.95	-52.741	808.607
480.96	-22.757	813.063
488.98	5.646	620.007
496.99	32.249	627.233
505.00	56.872	672.912
513.01	79.365	843.147
521.02	99.603	932.163
529.04	117.500	961.472
537.05	133.027	869.290
545.06	146.202	836.801
553.07	157.059	828.884
561.08	165.644	821.771
569.10	172.013	840.599
577.11	176.234	845.169
585.12	178.394	876.872
593.13	178.596	877.596
601.14	176.967	891.873
609.16	173.657	900.288
617.17	168.841	929.696
625.18	162.717	959.976
633.19	155.510	967.182
641.20	147.474	975.219
649.22	138.831	983.862
657.23	129.781	992.912
665.24	120.497	1002.196
673.25	111.128	1011.565
681.27	101.803	1020.890
689.28	92.631	1030.062
697.29	83.701	1038.992
705.30	75.087	1047.606
713.31	66.848	1055.845
721.33	59.028	1063.665
729.34	51.661	1071.032
737.35	44.770	1077.923
745.36	38.367	1084.327
753.37	32.457	1090.236
761.39	27.040	1095.653
769.40	22.107	1100.586
777.41	17.647	1105.046
785.42	13.643	1109.051
793.43	10.075	1112.618
801.45	6.921	1115.772
809.46	4.159	1118.534
817.47	1.762	1120.931
825.48	-0.294	1122.987
833.49	-2.036	1124.729
841.51	-3.490	1126.183
849.52	-4.681	1127.374
857.53	-5.635	1128.328
865.54	-6.375	1129.068
873.55	-6.924	1129.617
881.57	-7.305	1129.998
889.58	-7.539	1130.232
897.59	-7.644	1130.337
905.60	-7.639	1130.332
913.61	-7.540	1130.233
921.63	-7.364	1130.057
929.64	-7.123	1129.816
937.65	-6.831	1129.524
945.66	-6.498	1129.191
953.67	-6.136	1128.829
961.69	-5.752	1128.445
969.70	-5.356	1128.049
977.71	-4.953	1127.646
985.72	-4.550	1127.243
993.73	-4.152	1126.845
1001.75	-3.763	1126.456
1009.76	-3.386	1126.079
1017.77	-3.024	1125.717
1025.78	-2.679	1125.372
1033.80	-2.354	1125.047
1041.81	-2.049	1124.742
1049.82	-1.764	1124.457
1057.83	-1.501	1124.194
1065.84	-1.259	1123.952
1073.86	-1.038	1123.731
1081.87	-0.837	1123.530
1089.88	-0.657	1123.350
1097.89	-0.495	1123.188
1105.90	-0.352	1123.045
1113.92	-0.227	1122.920
1121.93	-0.117	1122.810
1129.94	-0.022	1122.715
1137.95	0.058	1122.635
1145.96	0.126	1122.567
1153.98	0.182	1122.511
1161.99	0.227	1122.466
1170.00	0.262	1122.431
1178.01	0.289	1122.404
1186.02	0.309	1122.384
1194.04	0.321	1122.372
1202.05	0.328	1122.365
1210.06	0.330	1122.363
1218.07	0.327	1122.366
1226.08	0.321	1122.372
1234.10	0.311	1122.382
1242.11	0.300	1122.393
1250.12	0.286	1122.407
1258.13	0.271	1122.422
1266.14	0.255	1122.438
1274.16	0.238	1122.455
1282.17	0.221	1122.473
1290.18	0.203	1122.490
1298.19	0.186	1122.507
1306.20	0.169	1122.524
1314.22	0.152	1122.541
1322.23	0.137	1122.556
1330.24	0.121	1122.572
1338.25	0.107	1122.586
1346.27	0.094	1122.599
1354.28	0.081	1122.612
1362.29	0.069	1122.624
1370.30	0.058	1122.635
1378.31	0.049	1122.644
1386.33	0.040	1122.653
1394.34	0.031	1122.662
